fecha_toma_muestra,pruebas_totales,positivos_totales,pruebas_totales_cdmx,positivos_totales_cdmx,tasa_positividad,tasa_positividad_cdmx
2020-09-24,4224,1263,3722,1108,0.2990056818181818,0.29768941429339063
2020-09-25,4381,1298,3758,1134,0.2962793882675188,0.30175625332623734
2020-09-26,2102,689,1847,608,0.32778306374881067,0.32918245804006496
2020-09-27,860,295,706,261,0.3430232558139535,0.3696883852691218
2020-09-28,4305,1406,3670,1194,0.32659698025551687,0.32534059945504085
2020-09-29,4445,1410,3867,1264,0.3172103487064117,0.3268683734160848
2020-09-30,4368,1356,3784,1209,0.31043956043956045,0.3195031712473573
2020-10-01,3990,1292,3497,1146,0.3238095238095238,0.32770946525593364
2020-10-02,4376,1161,3780,1012,0.2653107861060329,0.2677248677248677
2020-10-03,1781,557,1583,499,0.31274564851207187,0.31522425773847124
2020-10-04,749,282,637,243,0.376502002670227,0.3814756671899529
2020-10-05,3766,1298,3155,1096,0.34466277217206587,0.3473851030110935
2020-10-06,4477,1382,3942,1214,0.3086888541433996,0.30796549974632165
2020-10-07,4789,1363,4162,1199,0.284610565880142,0.2880826525708794
2020-10-08,4492,1271,3944,1140,0.2829474621549421,0.28904665314401623
2020-10-09,4486,1297,3969,1170,0.2891217119928667,0.2947845804988662
2020-10-10,1602,484,1389,422,0.3021223470661673,0.30381569474442044
2020-10-11,861,286,737,261,0.3321718931475029,0.3541383989145183
2020-10-12,4503,1404,3839,1210,0.3117921385742838,0.3151862464183381
2020-10-13,5617,1743,4849,1471,0.3103079935908848,0.3033615178387296
2020-10-14,4989,1370,4369,1200,0.2746041290839848,0.2746623941405356
2020-10-15,4429,1410,3888,1261,0.3183562881011515,0.3243312757201646
2020-10-16,5512,1694,4883,1493,0.3073294629898404,0.3057546590210936
2020-10-17,2164,665,1922,591,0.30730129390018485,0.30749219562955254
2020-10-18,1121,373,974,309,0.3327386262265834,0.31724845995893225
2020-10-19,6628,2153,5962,1870,0.3248340374170187,0.31365313653136534
2020-10-20,7311,2232,6488,1972,0.30529339351661877,0.3039457459926017
2020-10-21,7121,1931,6278,1720,0.27116977952534754,0.273972602739726
2020-10-22,7644,1941,6734,1713,0.25392464678178966,0.25438075438075436
2020-10-23,7308,1975,6506,1755,0.27025177887246854,0.2697509990777744
2020-10-24,2384,718,2102,624,0.3011744966442953,0.29686013320647003
2020-10-25,1556,491,1337,417,0.31555269922879176,0.3118922961854899
2020-10-26,7612,2249,6657,1944,0.29545454545454547,0.29202343397926994
2020-10-27,8187,2180,7270,1926,0.26627580310247956,0.26492434662998626
2020-10-28,8105,2147,7191,1937,0.264898210980876,0.2693644833820053
2020-10-29,7794,1869,6770,1601,0.23979984603541185,0.2364844903988183
2020-10-30,6759,1788,5816,1542,0.26453617399023527,0.26513067400275103
2020-10-31,2165,739,1920,651,0.34133949191685914,0.3390625
2020-11-01,994,389,825,320,0.39134808853118713,0.3878787878787879
2020-11-02,2017,707,1756,628,0.3505205751115518,0.357630979498861
2020-11-03,6963,2410,6063,2087,0.346115180238403,0.3442190334817747
2020-11-04,6996,2222,6146,1979,0.31761006289308175,0.321998047510576
2020-11-05,6771,2083,6037,1888,0.30763550435681586,0.3127381149577605
2020-11-06,6469,1935,5736,1722,0.2991188746328644,0.3002092050209205
2020-11-07,2608,891,2288,787,0.3416411042944785,0.34396853146853146
2020-11-08,1036,440,823,347,0.4247104247104247,0.42162818955042525
2020-11-09,7302,2593,6385,2274,0.3551081895371131,0.3561472200469851
2020-11-10,7942,2684,6969,2319,0.3379501385041551,0.332759362892811
2020-11-11,6887,2083,5979,1827,0.30245389864962974,0.305569493226292
2020-11-12,6601,1845,5766,1622,0.2795031055900621,0.28130419701699616
2020-11-13,6599,1900,5837,1676,0.28792241248674044,0.2871338016104163
2020-11-14,2125,693,1847,586,0.3261176470588235,0.31727125067677314
2020-11-15,1020,366,888,325,0.3588235294117647,0.36599099099099097
2020-11-16,822,342,701,288,0.41605839416058393,0.4108416547788873
2020-11-17,6643,1999,5809,1725,0.3009182598223694,0.2969530039593734
2020-11-18,6571,2219,5713,1891,0.33769593669152337,0.33099947488184844
2020-11-19,6943,2180,6080,1927,0.3139853089442604,0.3169407894736842
2020-11-20,6383,1905,5544,1634,0.29844900516998274,0.29473304473304474
2020-11-21,3742,1216,3339,1073,0.324959914484233,0.3213536987121893
2020-11-22,2486,1492,2077,1229,0.6001609010458568,0.5917188252286952
2020-11-23,8861,3405,7656,2840,0.3842681412933078,0.3709508881922675
